fid,id,survey_id,weather,start_time,habitat,dom_veg,patch_id,elevation,sector,richness_richness
60,,Regen_69,"Sun, hot, still","2013","3","Ling, vurch  molinia",,152,Rahoy,"3"
61,,Regen_6,"Dusk, sun, still, warm","2104","4","Birch, molinia",,124,Rahoy,"1"
62,,Woodland_61,"Clear, warm, still","0656","5","Oak, tormentiitl ,molinia",,35,Rahoy,"4"
63,,Woodland_6,"Clear, sun, warm, still","0748","5","Oak, brakc3n, bramble, ",,90,Rahoy,"6"
64,,Ardtornishpoint_7,"Overcast, still, mild","1202","4","Alder, birch, ling, molinia",,98,Lochaline,"4"
65,,Ardtornishpoint_14,"Drizzle, overcast, breeze","1248","4","Alder, birch,  og myrtle",,120,Lochaline,"1"
66,,Tearnaitwest_19,"Overcast, drizzle, breeze","1841","3","Big mytrile  ling, molinia, alder, birch, rowan",,153,Tearnait,"2"
67,,Tearnaitwest_2,,"1944","3","Molinia, birch, bluebell, rowan, tormentil",,214,Tearnait,"3"
68,,Clounlaid_1,Overcast fog still,"0603","3","Molinia, birch, ling",,186,Clounlaid,"2"
69,,Clounlaid_2,"Overcast, breeze","0645","3","Birch, molinia, ling",,180,Clounlaid,"1"
70,,Clounlaid_3,"Cloudy, mild, still, dry","0818","3","Molinia, ling, birch",,199,Clounlaid,"2"
71,,Clounlaid_4,"Sun, breeze, clouds, warm","1921","3","Molinia, ling, birch",,203,Clounlaid,"3"
72,,Clounlaid_4,"Sun, breeze, clouds, warm","1921","3","Molinia, ling, birch",,203,Clounlaid,"3"
73,,Clounlaid_5,"Overcast, wind","2005","3","Molinia  ling, birch, rowan",,205,Clounlaid,"3"
74,,Clounlaid_4,"Sun, breeze, clouds, warm","1921","3","Molinia, ling, birch",,203,Clounlaid,"3"
75,,Clounlaid_5,"Overcast, wind","2005","3","Molinia  ling, birch, rowan",,205,Clounlaid,"3"
76,,Clounlaid_6,"Cloudy, mild, still","2103","3","Molinia, ling, burch",,170,Clounlaid,"0"
78,,Regen_59,"Wind, ovrrcast, cold","0712","3","Burch, molinia, rowan, ling, bracken",,136,Tearnait,"2"
79,,Ardtornishpoint_6,"Drizzle, overcast, breeze","1840","2","Bracken, molinia, ling, blue bell, tormentil",,131,Lochaline,"1"
80,,Ardtornishpoint_10,"Overcast, breezy, showers","1931","1","Bracken, ling  mol8nia, bog myrtle",,149,Lochaline,"1"
81,,Ardtornishpoint_0,"Cloud, mild, breeze","2028","4","Silver birch, willow",,103,Lochaline,"1"
82,,Woodland_20,"Overcast, mild, breeze","1027","4","Silver birch, molonia, bracken",,135,Tearnait,
83,,Tearnaitwest7,"Overcadt, showers, mild","1139","3","Alder, birch, molinia, brakcen, bluebell",,198,Tearnait,
84,,Tearnaitwest_5,"Cloudy  br3ezy, warm","1248","2","Molinia, ling, bracken, bluebell, rowan, birch",,271,Tearnait,"2"
85,,Tearnaitwest_12,"Showers, overcast, breeze","1332","3","Bracken, bluebell, silver birch",,227,Tearnait,"1"
86,,Tearnaitwest_18,"Drizzle, cloudy, breeze","1415","3","Birch  oak, ling, rowan, molinia, willow",,224,Tearnait,"3"
88,,Open_30,"Sun, gusts, mild","1436","1",Molinia,,143,Tearnait,"2"
89,,Open_62,"Gusts, sun,mild","1626","1","Molinia, ling",,235,Tearnait,"2"
90,,Open_29,"Breeze,  sun, mild","1751","1",Molinia,,121,Tearnait,"1"
91,,Arienas_south_4,"Sun, breeze","0610","4","Birch, willow, oak",,26,Rahoy,"1"
92,,Arienas_south_4,"Sun, breeze","0610","4","Birch, willow, oak",,26,Rahoy,"1"
93,,Arienas_south_5,"Sun, breeze, warm","0645","1","Molinia, ling, bog myrtle",,22,Rahoy,"2"
94,,Arienas_south_1,"Sun, breeze, warm","0755","5","Birch sp, blaeberry, bracken",,26,Rahoy,"1"
95,,arienas_idk_1,"Drizzle, still, overcasr, mild","1905","4","Vurcg, willow",,68,Rahoy,"2"
96,,arienas_idk_2,"Overcast, mild, showers, breeze","2045","4",Birch oak,,146,Rahoy,"3"
97,,arienas_idk_1,"Cloudy,breezy,warm","1628","4","Birch, molinia",,49,Claggan,"2"
98,,arienas_idk_4,"Overcast,showers,breeze,mild","1725","4","Burch, rowan, ",,70,Claggan,"2"
99,,arienas_idk_5,"Overcast, breeze, mild, showers","1820","4",Birch  molinia,,81,Claggan,"1"
100,,Open_58,"Clear, breeze, warm","1842","1",Molinia,,204,Tearnait,"3"
101,,Open_16,"Clear, breeze","1931","1",Molinia,,210,Tearnait,"3"
102,,Woodland_60,"Sun, breeze, warm","0656","3","Oak, molinia",,164,Tearnait,"3"
103,,Open_2_1,"Breeze, clouds, mild","0935","1","Omlinia, ling, citton grass",,243,Eignaig,"2"
105,,Open_2_2,"Cloudy, mild, breeze","1053","2","Mklinja, big asphodem, blaeberry",,176,Inninmoore,"1"
108,,Camas_gorm_6,"Clouds, mild, breeze","1245","2","Ling, milinia, birch, bracken",,132,Inninmoore,"1"
109,,Camas_gorm_idk,"Cloudy, warm, breeze","1341","5","Oak, birch, alder",,124,Inninmoore,"4"
110,,Camas_gorm_idk2,"Overcast, mild, still","1430","5","Iak, bracken  blaeberry",,101,Inninmoore,"2"
111,,Camas_gorm_idk2,"Overcast, mild, still","1430","5","Iak, bracken  blaeberry",,101,Inninmoore,"2"
